center_emotion,position,context_emotion,count,ratio
neutral,prev,neutral,31,0.7948717948717948
neutral,next,neutral,22,0.6111111111111112
neutral,prev,surprise,0,0.0
neutral,next,surprise,1,0.027777777777777776
neutral,prev,fear,1,0.02564102564102564
neutral,next,fear,2,0.05555555555555555
neutral,prev,sadness,1,0.02564102564102564
neutral,next,sadness,2,0.05555555555555555
neutral,prev,joy,4,0.10256410256410256
neutral,next,joy,6,0.16666666666666666
neutral,prev,disgust,0,0.0
neutral,next,disgust,1,0.027777777777777776
neutral,prev,anger,2,0.05128205128205128
neutral,next,anger,2,0.05555555555555555
surprise,prev,neutral,5,0.3333333333333333
surprise,next,neutral,4,0.18181818181818182
surprise,prev,surprise,6,0.4
surprise,next,surprise,5,0.22727272727272727
surprise,prev,fear,0,0.0
surprise,next,fear,0,0.0
surprise,prev,sadness,1,0.06666666666666667
surprise,next,sadness,3,0.13636363636363635
surprise,prev,joy,2,0.13333333333333333
surprise,next,joy,2,0.09090909090909091
surprise,prev,disgust,0,0.0
surprise,next,disgust,0,0.0
surprise,prev,anger,1,0.06666666666666667
surprise,next,anger,8,0.36363636363636365
fear,prev,neutral,11,0.6470588235294118
fear,next,neutral,9,0.75
fear,prev,surprise,0,0.0
fear,next,surprise,0,0.0
fear,prev,fear,2,0.11764705882352941
fear,next,fear,2,0.16666666666666666
fear,prev,sadness,2,0.11764705882352941
fear,next,sadness,1,0.08333333333333333
fear,prev,joy,1,0.058823529411764705
fear,next,joy,0,0.0
fear,prev,disgust,0,0.0
fear,next,disgust,0,0.0
fear,prev,anger,1,0.058823529411764705
fear,next,anger,0,0.0
sadness,prev,neutral,5,0.1724137931034483
sadness,next,neutral,14,0.358974358974359
sadness,prev,surprise,3,0.10344827586206896
sadness,next,surprise,1,0.02564102564102564
sadness,prev,fear,1,0.034482758620689655
sadness,next,fear,1,0.02564102564102564
sadness,prev,sadness,12,0.41379310344827586
sadness,next,sadness,15,0.38461538461538464
sadness,prev,joy,2,0.06896551724137931
sadness,next,joy,5,0.1282051282051282
sadness,prev,disgust,0,0.0
sadness,next,disgust,0,0.0
sadness,prev,anger,6,0.20689655172413793
sadness,next,anger,3,0.07692307692307693
joy,prev,neutral,15,0.39473684210526316
joy,next,neutral,13,0.35135135135135137
joy,prev,surprise,3,0.07894736842105263
joy,next,surprise,4,0.10810810810810811
joy,prev,fear,0,0.0
joy,next,fear,1,0.02702702702702703
joy,prev,sadness,4,0.10526315789473684
joy,next,sadness,2,0.05405405405405406
joy,prev,joy,16,0.42105263157894735
joy,next,joy,13,0.35135135135135137
joy,prev,disgust,0,0.0
joy,next,disgust,0,0.0
joy,prev,anger,0,0.0
joy,next,anger,4,0.10810810810810811
disgust,prev,neutral,1,0.16666666666666666
disgust,next,neutral,2,0.13333333333333333
disgust,prev,surprise,0,0.0
disgust,next,surprise,2,0.13333333333333333
disgust,prev,fear,0,0.0
disgust,next,fear,0,0.0
disgust,prev,sadness,0,0.0
disgust,next,sadness,0,0.0
disgust,prev,joy,1,0.16666666666666666
disgust,next,joy,0,0.0
disgust,prev,disgust,3,0.5
disgust,next,disgust,4,0.26666666666666666
disgust,prev,anger,1,0.16666666666666666
disgust,next,anger,7,0.4666666666666667
anger,prev,neutral,8,0.16666666666666666
anger,next,neutral,15,0.3125
anger,prev,surprise,3,0.0625
anger,next,surprise,1,0.020833333333333332
anger,prev,fear,0,0.0
anger,next,fear,1,0.020833333333333332
anger,prev,sadness,1,0.020833333333333332
anger,next,sadness,3,0.0625
anger,prev,joy,2,0.041666666666666664
anger,next,joy,1,0.020833333333333332
anger,prev,disgust,5,0.10416666666666667
anger,next,disgust,1,0.020833333333333332
anger,prev,anger,29,0.6041666666666666
anger,next,anger,26,0.5416666666666666
