dimension,activation_mean
0,0.2361111
1,0.11111111
2,0.875
3,0.22222222
4,0.3472222
5,0.4722222
6,0.25
7,0.7083333
8,0.5833333
9,0.7777778
10,0.33333334
11,0.2638889
12,0.6111111
13,0.29166666
14,0.22222222
15,0.5555556
16,0.5138889
17,0.15277778
18,0.29166666
19,0.6666667
20,0.3888889
21,0.44444445
22,0.5416667
23,0.5416667
24,0.22222222
25,0.30555555
26,0.4861111
27,0.5416667
28,0.5277778
29,0.43055555
30,0.8055556
31,0.5694444
32,0.375
33,0.7777778
34,0.31944445
35,0.31944445
36,0.4722222
37,0.6666667
38,0.18055555
39,0.45833334
40,0.1388889
41,0.15277778
42,0.5416667
43,0.33333334
44,0.25
45,0.18055555
46,0.19444445
47,0.18055555
48,0.9166667
49,0.31944445
50,0.22222222
51,0.22222222
52,0.4722222
53,0.5
54,0.19444445
55,0.5138889
56,0.31944445
57,0.22222222
58,0.875
59,0.8194444
60,0.44444445
61,0.2777778
62,0.7083333
63,0.5416667
64,0.6944444
65,0.15277778
66,0.6805556
67,0.30555555
68,0.5
69,0.29166666
70,0.375
71,0.3472222
72,0.22222222
73,0.43055555
74,0.4722222
75,0.33333334
76,0.5
77,0.25
78,0.8888889
79,0.1388889
80,0.4027778
81,0.33333334
82,0.2777778
83,0.6388889
84,0.4722222
85,0.375
86,0.875
87,0.5833333
88,0.5277778
89,0.5555556
90,0.19444445
91,0.41666666
92,0.8888889
93,0.45833334
94,0.7638889
95,0.2638889
96,0.6805556
97,0.75
98,0.4027778
99,0.6805556
100,0.8194444
101,0.3888889
102,0.2361111
103,0.7638889
104,0.5694444
105,0.6111111
106,0.3472222
107,0.3611111
108,0.18055555
109,0.1388889
110,0.6527778
111,0.5138889
112,0.8333333
113,0.4861111
114,0.6388889
115,0.19444445
116,0.5277778
117,0.22222222
118,0.18055555
119,0.5972222
120,0.5694444
121,0.875
122,0.2638889
123,0.30555555
124,0.20833333
125,0.3888889
126,0.2638889
127,0.41666666
128,0.5138889
129,0.45833334
130,0.1388889
131,0.29166666
132,0.2361111
133,0.31944445
134,0.41666666
135,0.4861111
136,0.625
137,0.5416667
138,0.4861111
139,0.5833333
140,0.6944444
141,0.375
142,0.375
143,0.5
144,0.22222222
145,0.11111111
146,0.5416667
147,0.41666666
148,0.41666666
149,0.4722222
150,0.375
151,0.75
152,0.41666666
153,0.4027778
154,0.19444445
155,0.5555556
156,0.31944445
157,0.16666667
158,0.8194444
159,0.31944445
160,0.16666667
161,0.19444445
162,0.1388889
163,0.5277778
164,0.8333333
165,0.25
166,0.4861111
167,0.25
168,0.22222222
169,0.7777778
170,0.19444445
171,0.29166666
172,0.7222222
173,0.25
174,0.3888889
175,0.29166666
176,0.7638889
177,0.2361111
178,0.7222222
179,0.875
180,0.41666666
181,0.43055555
182,0.75
183,0.8055556
184,0.5972222
185,0.5416667
186,0.5138889
187,0.8333333
188,0.6111111
189,0.5138889
190,0.625
191,0.20833333
192,0.20833333
193,0.3472222
194,0.5694444
195,0.5972222
196,0.20833333
197,0.3611111
198,0.8611111
199,0.18055555
200,0.30555555
201,0.3472222
202,0.8472222
203,0.19444445
204,0.5277778
205,0.16666667
206,0.31944445
207,0.22222222
208,0.7777778
209,0.875
210,0.7638889
211,0.6666667
212,0.3611111
213,0.45833334
214,0.2361111
215,0.1388889
216,0.7777778
217,0.29166666
218,0.45833334
219,0.8333333
220,0.22222222
221,0.5972222
222,0.5416667
223,0.625
224,0.6666667
225,0.2638889
226,0.15277778
227,0.25
228,0.5416667
229,0.4861111
230,0.3611111
231,0.22222222
232,0.2638889
233,0.8888889
234,0.7083333
235,0.29166666
236,0.5972222
237,0.2361111
238,0.8611111
239,0.41666666
240,0.16666667
241,0.7777778
242,0.22222222
243,0.41666666
244,0.22222222
245,0.1388889
246,0.5972222
247,0.22222222
248,0.8333333
249,0.7638889
250,0.2361111
251,0.5833333
252,0.4861111
253,0.8611111
254,0.2638889
255,0.44444445
